"Log ID",Date,Description,"Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count",Pace,"Avg Watts",Cal/Hour,"Total Cal","Avg Heart Rate","Drag Factor",Age,Weight,Type,Ranked,Comments,"Date Entered"
104332775,"2025-07-21 19:27:00","20:35 row",20:35.5,1235.5,,,4168,,24,502,2:28.2,108,669,227,147,147,49,Hwt,RowErg,No,,"2025-07-22 02:28:00"
104295751,"2025-07-20 19:47:33","6x4:00/2:00r row",24:00.0,1440,12:00.0,720,4786,850,23,564,2:30.4,103,653,258,151,108,49,Hwt,RowErg,No,"Medium - 6 x 4 min / 2 min easy - C2 Row WOD
https://app.erg.zone/w/NjCU06a6SyS5QWG_FxBnYw","2025-07-21 02:47:37"
104295421,"2025-07-20 19:04:13","v1:00/1:00r...7 row",16:00.0,960,7:00.0,420,3426,595,25,413,2:20.1,127,737,194,,109,49,Hwt,RowErg,No,"WOD - 1 min, 2 min, 3 min, 4 min, 3 min, 2 min, 1 min pyramid / 1 min easy - C2 Row WOD
https://app.erg.zone/w/HSwSQmoORICKEs0to6OVBw","2025-07-21 02:04:16"
104242777,"2025-07-18 19:34:36","3x1000m/2:00r row",15:17.7,917.7,6:00.0,360,3000,120,24,365,2:32.9,98,636,161,152,108,49,Hwt,RowErg,No,"Short - 3 x 1000m / 2 min easy - C2 Row WOD
https://app.erg.zone/w/iy80Wp8sQYWBYF2Vph-x8A","2025-07-19 02:34:39"
104242560,"2025-07-18 19:06:54","v1:00/2:00r...5 row",15:00.0,900,10:00.0,600,3168,1147,25,384,2:22.0,122,720,179,152,107,49,Hwt,RowErg,No,"WOD - 1/2/3/4/5 minutes with 2 minutes rest - C2 Row WOD
https://app.erg.zone/w/e8ZnPqFoTHSyp7pQq8MPCw","2025-07-19 02:06:57"
104214420,"2025-07-17 20:34:43","4x5:00/3:00r row",20:00.0,1200,12:00.0,720,4070,933,24,495,2:27.4,109,675,225,156,106,49,Hwt,RowErg,No,"Medium - 4 x 5 min / 3 min easy - C2 Row WOD
https://app.erg.zone/w/oqGgec9jR2qY_M6TaLXS1A","2025-07-18 03:34:46"
104182308,"2025-07-16 18:37:38","3x12:00/3:00r row",36:00.0,2160,9:00.0,540,7077,658,24,881,2:32.6,98,638,382,159,106,49,Hwt,RowErg,No,"Technical Steady: 3 x 12:00a/3:00r @ 24 SPM
Smooth and efficient strokes. Focus on sequence: legs > back > arms.
https://app.erg.zone","2025-07-17 01:37:41"
104112427,"2025-07-14 19:07:26","v250m/0:47r...5 row",10:38.4,638.4,5:24.0,324,2250,190,24,262,2:21.8,123,721,125,,196,49,Hwt,RowErg,No,"Sprint Ladder: 250/500/750/500/250
Negative splits. Push speed, but keep form tight.
https://app.erg.zone","2025-07-15 02:07:28"
104112180,"2025-07-14 18:48:10","8x1:00/1:00r row",8:00.0,480,8:00.0,480,1925,603,27,221,2:04.6,181,921,119,,198,49,Hwt,RowErg,No,"Power Intervals: 10 x (1:00a + 1:00r) @ 24-26 SPM
Focus on power per stroke. Drive with legs. Hold target pace (2:10–2:20).
https://app.erg.zone","2025-07-15 01:48:14"
104077508,"2025-07-13 19:10:12","30:00 row",30:00.0,1800,,,5447,,22,672,2:45.2,78,567,291,157,100,49,Hwt,RowErg,No,"Steady Endurance: 30:00 @ 22-24 SPM
Settle in. Even pacing. Target 2:35-2:40. Posture & technique.
https://app.erg.zone","2025-07-14 02:10:15"
104052343,"2025-07-12 16:43:31","4x3:00/2:00r row",12:00.0,720,8:00.0,480,2525,169,24,300,2:22.5,121,715,142,151,106,49,Hwt,RowErg,No,"Short - 4 x 3 min / 2 min easy - C2 Row WOD
https://app.erg.zone/w/iMpgDxa1T5qQiVQAwQrAnA","2025-07-12 23:43:33"
104001787,"2025-07-10 19:01:51","4x4:00/2:00r row",16:00.0,960,8:00.0,480,3158,90,24,382,2:31.9,100,643,169,162,100,49,Hwt,RowErg,No,"Short - 4 x 4 min / 2 min easy - C2 Row WOD
https://app.erg.zone/w/SVFP400tTQKFlKhMGiHaaw","2025-07-11 02:01:54"
104001443,"2025-07-10 18:35:19","v250m/0:43r...5 row",10:29.6,629.6,5:30.0,330,2250,190,23,248,2:19.9,128,739,127,153,167,49,Hwt,RowErg,No,"Sprint Ladder: 250/500/750/500/250
Negative splits. Push speed, but keep form tight.
https://app.erg.zone","2025-07-11 01:35:22"
103934531,"2025-07-08 17:05:14","v2:00/2:00r...5 row",14:00.0,840,10:00.0,600,3081,484,26,369,2:16.3,138,775,178,163,198,49,Hwt,RowErg,No,"WOD - 2 min, 3 min, 4 min, 3 min, 2 min pyramid / 2 min easy - C2 Row WOD
https://app.erg.zone/w/tYV8I9uiQMaqvygwilWmgw","2025-07-09 00:05:17"
103901076,"2025-07-07 19:25:54","4x10:00/4:00r row",40:00.0,2400,16:00.0,960,7751,1037,27,1085,2:34.8,94,624,415,162,193,49,Hwt,RowErg,No,"Long - 4 x 10 min with rate increase / 4 min easy - C2 Row WOD
https://app.erg.zone/w/ohNUeFPGTSGWMyBiyt7p5w","2025-07-08 02:25:57"
103863540,"2025-07-06 16:55:00","30:00 row",30:00.0,1800,,,5273,,26,776,2:50.6,70,542,270,156,106,49,Hwt,RowErg,No,,"2025-07-06 23:55:26"
103837649,"2025-07-05 15:42:00","30:42 row",30:42.9,1842.9,,,5581,,26,800,2:45.1,78,567,288,136,202,49,Hwt,RowErg,No,,"2025-07-05 22:43:26"
103837279,"2025-07-05 15:10:00","5:23 row",5:23.5,323.5,,,1025,,26,144,2:37.8,89,606,54,130,204,49,Hwt,RowErg,No,,"2025-07-05 22:10:52"
